Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Aruba,ABW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bermuda,BMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
British Virgin Islands,VGB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Brunei Darussalam,BRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Canada,CAN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Cayman Islands,CYM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Channel Islands,CHI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Chile,CHL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Croatia,HRV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Curacao,CUW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Cyprus,CYP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Czech Republic,CZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Denmark,DNK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Estonia,EST,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Faroe Islands,FRO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Finland,FIN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
France,FRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
French Polynesia,PYF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Germany,DEU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Gibraltar,GIB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Greece,GRC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Greenland,GRL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Guam,GUM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
"Hong Kong SAR, China",HKG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Hungary,HUN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Iceland,ISL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Ireland,IRL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Isle of Man,IMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Israel,ISR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Italy,ITA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Japan,JPN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
"Korea, Rep.",KOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Kuwait,KWT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Latvia,LVA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Liechtenstein,LIE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Lithuania,LTU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Luxembourg,LUX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
"Macao SAR, China",MAC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Malta,MLT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Monaco,MCO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Netherlands,NLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
New Caledonia,NCL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
New Zealand,NZL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Northern Mariana Islands,MNP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Norway,NOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Oman,OMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Palau,PLW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Panama,PAN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Poland,POL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Portugal,PRT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Puerto Rico,PRI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Qatar,QAT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
San Marino,SMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Saudi Arabia,SAU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Seychelles,SYC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Singapore,SGP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Sint Maarten (Dutch part),SXM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Slovak Republic,SVK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Slovenia,SVN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Spain,ESP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
St. Kitts and Nevis,KNA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
St. Martin (French part),MAF,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Sweden,SWE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Switzerland,CHE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Trinidad and Tobago,TTO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Turks and Caicos Islands,TCA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
United Arab Emirates,ARE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
United Kingdom,GBR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
United States,USA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Uruguay,URY,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Virgin Islands (U.S.),VIR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/09/2020,,,,
